nStrip  Strip_Length
0       184.4
1       184.4
2       184.4
3       184.4
4       184.4
5       184.4
6       184.4
7       184.4
8       184.4
9       184.4
10      184.4
11      184.4
12      184.4
13      184.4
14      184.4
15      184.4
16      184.4
17      184.4
18      184.4
19      184.4
20      184.4
21      184.4
22      184.4
23      184.4
24      184.4
25      184.4
26      184.4
27      184.4
28      184.4
29      184.4
30      184.4
31      184.4
32      184.4
33      184.4
34      184.4
35      184.4
36      184.4
37      184.4
38      184.4
39      184.4
40      184.4
41      184.4
42      184.4
43      184.4
44      184.4
45      184.4
46      184.4
47      184.4
48      184.4
49      184.4
50      184.4
51      181.4
52      178.2
53      175
54      171.8
55      168.6
56      165.4
57      162.2
58      159
59      155.8
60      152.6
61      149.4
62      146.2
63      143
64      139.8
65      136.6
66      133.4
67      130.2
68      127
69      123.8
70      120.6
71      117.4
72      114.2
73      111
74      107.8
75      104.6
76      101.4
77      98.2
78      95
79      91.8
80      88.6
81      85.4
82      82.2
83      79
84      75.8
85      72.6
86      69.4
87      66.2
88      63
89      59.8
90      56.6
91      53.4
92      50.2
93      47
